5305,Geometry,0
5306,Central tendency analysis,0
5307,Cluster and pattern analysis,0
5308,Central tendency analysis,0
5309,Cluster and pattern analysis,0
5310,Spatial autocorrelation analysis,0
5311,Spatial relationship modeling,0
5312,Vector shape analysis,0
5313,Data driven mapping,0
5314,Network building,0
5315,Spatial relationship modeling,0
5316,Reclassification,0
5317,GIS elements management,0
5318,Spatial statistical analysis,1
5319,Proximity analysis,0
5320,Vector shape analysis,0
5321,Spatial autocorrelation analysis,0
5322,Spatial relationship modeling,0
5323,Spatial interpolation,0
5324,Vector data graph editing,0
5325,Spatial statistical analysis,1
5326,Spatial autocorrelation analysis,0
5327,Vector shape analysis,0
5328,Neighborhood statistics,0
5329,3D Surface analysis,0
5330,Spatial relationship modeling,0
5331,General management,0
5332,Proximity analysis,0
5333,Vector shape analysis,0
5334,Positioning and configuration analysis,0
5335,3D Surface analysis,0
5336,Central tendency analysis,0
5337,Statistics analysis,0
5338,Hypothesis testing,0
5339,Spatial statistical analysis,1
5340,Spatial interpolation,0
5341,Spatial relationship modeling,0
5342,Spatial autocorrelation analysis,0
5343,Spatial autocorrelation analysis,0
5344,Spatial relationship modeling,0
5345,Interpolation analysis,0
5346,Positioning and configuration analysis,0
5347,General management,0
5348,Spatial autocorrelation analysis,0
5349,Vector shape analysis,0
5350,Spatial autocorrelation analysis,0
5351,Spatial statistical analysis,1
5352,Vector shape analysis,0
5353,Spatial relationship modeling,0
5354,Spatial autocorrelation analysis,0
5355,Vector shape analysis,0
5356,Spatial relationship modeling,0
5357,Vector shape analysis,0
5358,Cluster and pattern analysis,0
5359,Cluster and pattern analysis,0
5360,Vector shape analysis,0
5361,Spatial statistical analysis,1
5362,Spatial autocorrelation analysis,0
5363,Neighborhood statistics,0
5364,Data import,0
5365,Spatial autocorrelation analysis,0
5366,Vector shape analysis,0
5367,Vector shape analysis,0
5368,Spatial autocorrelation analysis,0
5369,3D Raster calculation,0
5370,Network building,0
5371,Spatial autocorrelation analysis,0
5372,Spatial statistical analysis,1
5373,Spatial relationship modeling,0
5374,Spatial autocorrelation analysis,0
5375,Spatial autocorrelation analysis,0
