4542,output,output parameter,Coverage,Raster
4543,output,output parameter,Coverage,Raster
4544,output,output parameter,Table,NonGeoData
4545,output,output parameter,Table,NonGeoData
4546,output,output parameter,Table,NonGeoData
4547,output,output parameter,Coverage,Raster
4548,output,output parameter,Coverage,Raster
4549,output,output parameter,Coverage,Raster
4550,output,output parameter,Coverage,Raster
4551,output,output parameter,Coverage,Raster
4552,output,,FeatureCollection,Vector
4553,output,output coverage image,Coverage,Raster
4554,result,JSON array string for prefecture level administrative divisions within the province,String,LiteralData
4555,result,JSON string for prefecture level carbon accounting,String,LiteralData
4556,result,JSON string for prefecture level socio-economic indicators,String,LiteralData
4557,result,Carbon accounting allocation ratio JSON string,String,LiteralData
4558,result,JSON string for provincial carbon emission statistics,String,LiteralData
4559,result,JSON string for provincial socio-economic indicators,String,LiteralData
4560,output,output parameter,Image<unknown bands>,Raster
4561,output,output parameter,String,LiteralData
4562,output,output parameter,Item,LiteralData
4563,output,output parameter,Integer,LiteralData
4564,Collection,Maps an algorithm over a collection.,Collection,LiteralData
4565,output,output parameter,Collection,LiteralData
4566,output,output parameter,CoverageCollection,Raster
4567,output,output parameter,FeatureCollection,Vector
4568,output,output parameter,Collection,LiteralData
4569,output,output parameter,Cube,GeoData
4570,output,,FeatureCollection,Vector
4571,output,,FeatureCollection,Vector
4572,output,output parameter,Coverage,Raster
4573,Coverage,"Performs accuracy evaluation, calculating classification accuracy for raster images.",Coverage,Raster
4574,output,output parameter,Coverage,Raster
4575,output,output parameter,Coverage,Raster
4576,output,output parameter,Coverage,Raster
4577,output,output parameter,Coverage,Raster
4578,output,output parameter,Coverage,Raster
4579,output,output parameter,Coverage,Raster
4580,Coverage,Performs artificial neural network classification algorithm for raster data.,Coverage,Raster
4581,output,output parameter,Double,LiteralData
4582,output,output parameter,Coverage,Raster
4583,output,output parameter,Coverage,Raster
4584,output,output parameter,Coverage,Raster
4585,output,output parameter,Coverage,Raster
4586,output,output parameter,Feature,Vector
